Source,City,State,Date,Link,Item(s),Age,Gender,Race,Profession,Perpetrator/Victim/Other,Crime,Notes
NYT,New York,New York,1/16/1870,https://www.nytimes.com/1870/01/16/archives/troubles-of-a-prima-donna-a-fair-songstress-and-her-lover-arrested.html,money,young,f,Russian,Prima Donna,Perpetrator,Theft,
Delaware County Republican,Upper Chichester,Pennsylvania,1/28/1870,https://accessible.com/accessible/emailedURL?AADoc=DELAWARECOUNTYREPUBLICAN.DE1870012814.25197,"handkerchief, money",20,f,light complexion,,Victim,Sudden death,Dead body
NYT,Piqua,Ohio,2/14/1870,https://timesmachine.nytimes.com/timesmachine/1870/02/14/80255301.html?pageNumber=1,gun,young,f,,,Perpetrator,Attempted Murder,
Massachusetts Ploughman and New England Journal of Agriculture (1842-1906),New York,New York,8/6/1870,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/mysterious-murder/docview/136319687/se-2?accountid=9959,"watch, key",,m,,retired broker,Victim,Murder,
NYT,New York,New York,8/11/1870,https://timesmachine.nytimes.com/timesmachine/1870/08/11/83469712.html?pageNumber=3,"money, stocks, bond",,m,,,Victim,Theft,
NYT,New York,New York,8/11/1870,https://timesmachine.nytimes.com/timesmachine/1870/08/11/83469712.html?pageNumber=3,watch,,m,,,Victim,Theft,
NYT,New York,New York,8/11/1870,https://timesmachine.nytimes.com/timesmachine/1870/08/11/83469712.html?pageNumber=3,watch,,m,,,Victim,Theft,
NYT,New York,New York,8/11/1870,https://timesmachine.nytimes.com/timesmachine/1870/08/11/83469712.html?pageNumber=3,gun,,m,,Fence (stolen goods),Perpetrator,Theft,
NYT,New York,New York,8/11/1870,https://timesmachine.nytimes.com/timesmachine/1870/08/11/83469712.html?pageNumber=3,jewelery,,m,,,Perpetrator,Theft,
The Youth's Companion (1827-1929),Boston,Massachusetts,1/19/1871,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/injustice-poor-girl/docview/127036360/se-2?accountid=9959,fabric,16,f,German,Fringe and trimming factory employee,Victim,Theft,Accidental misunderstanding
The Revolution,Brooklyn,New York,3/2/1871,https://accessible.com/accessible/emailedURL?AADoc=THEREVOLUTION.RV1871030203.00003,ring,,f,,,Victim,Theft,pickpocket
Knoxville daily chronicle. [volume],Knoxville,Tennessee,3/8/1871,https://chroniclingamerica.loc.gov/lccn/sn85033437/1871-03-08/ed-1/seq-1/#words=of+her+pockets,"wine, lace, baby dresses, trimming, glove, stockings, figured glass, earings, Bible",,f,,,Perpetrator,Shoplifting,Commented that it was a lot to carry
Christian Advocate (1866-1905),New York,New York,4/20/1871,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/sad-death-minister/docview/125958155/se-2?accountid=9959,"money, memorandum book, eyeglasses, contract with Chippewa Indians",,m,,Reverend,Victim,Sudden death,
Maine Farmer (1844-1900),Augusta,Maine,9/23/1871,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/article-10-no-title/docview/135666137/se-2?accountid=9959,"watch, chain, locket",27,f,,Reverend's Wife,Victim,Missing Person,
Semi-weekly Louisianian. [volume],New Orleans,Louisiana,12/24/1871,https://chroniclingamerica.loc.gov/lccn/sn83016631/1871-12-24/ed-1/seq-4/#words=on+his+person,gun,,m,Black,,Witness,Murder,
Maine Farmer (1844-1900),Augusta,Maine,5/25/1872,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/article-6-no-title/docview/135724050/se-2?accountid=9959,"bond, money, gold",,f,,Mental Patient,Act of insanity,Act of insanity,
NYT,Philadelphia,Pennsylvania,6/20/1872,https://timesmachine.nytimes.com/timesmachine/1872/06/20/79022898.html?pageNumber=1,bond,,m,,Convict,Perpetrator,Bank Robbery,
NYT,New York,New York,8/18/1872,https://timesmachine.nytimes.com/timesmachine/1872/08/18/79187760.html?pageNumber=1,handkerchief,50,m,,,Victim,Sudden death,
The Albany Law Journal; A Weekly Record of the Law and the Lawyers (1870-1908),Marietta,Ohio,8/31/1872,http://nuncio.cofc.edu/login?url=https://www.proquest.com/reports/notes-cases/docview/124862534/se-2?accountid=9959,money,,m,,Plaintiff's agent (courier?),Victim,Railroad fire,
NYT,New York,New York,11/6/1872,https://timesmachine.nytimes.com/timesmachine/1872/11/06/79199650.html?pageNumber=2,comb,12,f,,,Victim,Murder,hairbrush?
New York Observer and Chronicle (1833-1912),Detroit,Michigan,11/7/1872,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/ladies-smuggling/docview/136633078/se-2?accountid=9959,fabric,,f,,,Perpetrator,Smuggling,
New York Observer and Chronicle (1833-1912),Detroit,Michigan,11/7/1872,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/ladies-smuggling/docview/136633078/se-2?accountid=9959,tea,,f,,,Perpetrator,Smuggling,
New York Observer and Chronicle (1833-1912),Detroit,Michigan,11/7/1872,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/ladies-smuggling/docview/136633078/se-2?accountid=9959,"ribbon, lace",,f,,,Perpetrator,Smuggling,
New York Observer and Chronicle (1833-1912),Detroit,Michigan,11/7/1872,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/ladies-smuggling/docview/136633078/se-2?accountid=9959,fabric,,f,,,Perpetrator,Smuggling,
NYT,Buffalo,New York,6/27/1873,https://timesmachine.nytimes.com/timesmachine/1873/06/27/90529111.html?pageNumber=1,"jewelery, silverware, ring, watch",,m,,,Perpetrator,Theft,
Godey's Lady's Book,New York,New York,8/1/1873,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/found-dead/docview/126047318/se-2?accountid=9959,locket,7,m,,BootBlack,Victim,Sudden death,
Massachusetts Ploughman and New England Journal of Agriculture (1842-1906),Wickenburg,Arizona,8/30/1873,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/her-sake/docview/136351221/se-2?accountid=9959,"sketch, poem",22,m,,Newspaper correspondent,Victim,Murder,Killed by Apaches
The Albany register. [volume],Albany,Oregon,3/28/1874,https://chroniclingamerica.loc.gov/lccn/sn84022643/1874-03-28/ed-1/seq-6/#words=upon+the+person,"key, coins",,m,,,Victim,Unidentified body,
The Indiana State sentinel. [volume],New York,New York,6/16/1874,https://chroniclingamerica.loc.gov/lccn/sn87056600/1874-06-16/ed-1/seq-1/#words=from+her+pocket,"diamonds, watch, chain",,m,Swedish,seacaptain,Victim,Theft,
The Indiana State sentinel. [volume],New York,New York,6/16/1874,https://chroniclingamerica.loc.gov/lccn/sn87056600/1874-06-16/ed-1/seq-1/#words=from+her+pocket,"box, pastil, handkerchief",,f,,,Perpetrator,Theft,
The state journal.,Kansas City,Missouri,12/25/1874,https://chroniclingamerica.loc.gov/lccn/sn87052128/1874-12-25/ed-1/seq-3/#words=on+his+person,"papers, memorandum book, certificate, prescription, letter",,m,,brakeman,Victim,Murder,
NYT,New Brunswick,New Jersey,2/18/1875,https://timesmachine.nytimes.com/timesmachine/1875/02/18/82420609.html?pageNumber=2,"pocketbook, money",,m,white,coachman,Perpetrator,Murder,
NYT,Denver City,Colorado,3/26/1875,https://timesmachine.nytimes.com/timesmachine/1875/03/26/90532323.html?pageNumber=12,"money, land deeds, watch, ring, ",young,m,,clerk,Perpetrator,Theft,
The Stark County Democrat. [volume],Brooklyn,New York,4/8/1875,https://chroniclingamerica.loc.gov/lccn/sn84028490/1875-04-08/ed-1/seq-2/#words=from+his+pocket,letter,,m,,,Perpetrator,Adultery,
The daily phoenix. [volume],Columbia,South Carolina,5/28/1875,https://chroniclingamerica.loc.gov/lccn/sn84027008/1875-05-28/ed-1/seq-1.json,inventory of stolen goods,,m,,Police Sargeant,Perpetrator,Theft,May have stolen from prisoner
The daily phoenix. [volume],Columbia,South Carolina,5/28/1875,https://chroniclingamerica.loc.gov/lccn/sn84027008/1875-05-28/ed-1/seq-1.json,"handkerchief, ring, watch, chain, pin, cross, gun, knife, papers, stamp",,,,,Victim,Theft,Prisoner who had items stolen
Ohio Farmer (1856-1906),Cleveland,Ohio,7/31/1875,https://chroniclingamerica.loc.gov/lccn/sn84038206/1875-07-31/ed-1/seq-6/#words=in+her+possession,"jewels, lace, glove",,f,,,Perpetrator,Smuggling,
Martinsburg independent. [volume],New York,New York,7/31/1875,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/she-did-not-smuggle/docview/137246524/se-2?accountid=9959,"ring, handkerchief, morphine",28,f,,Colonel's wife,Victim,Theft,
NYT,New York,New York,8/27/1875,https://timesmachine.nytimes.com/timesmachine/1875/08/27/79090980.html?pageNumber=5,gun,,m,,constable,Perpetrator,Murder,self defence
NYT,New York,New York,1/19/1876,https://timesmachine.nytimes.com/timesmachine/1876/01/19/84801799.html?pageNumber=3,money,,f,,sewing machine establishment employee,Victim,Theft,
NYT,New York,New York,3/9/1876,https://timesmachine.nytimes.com/timesmachine/1876/03/09/81687190.html?pageNumber=5,gold,70,m,Cuban,businessman,Victim,Kidnapping,
Maine Farmer (1844-1900),Augusta,Maine,8/26/1876,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/wife-train-robber/docview/135832089/se-2?accountid=9959,"money, handkerchief",17,f,,wife of brakeman,Victim,Suicide,
"The Albion, A Journal of News, Politics and Literature (1822-1876)",East Cambridge,Massachusetts,11/25/1876,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/items-interest/docview/89569267/se-2?accountid=9959,money,,m,,,Perpetrator,Public drunkenness,
Bismarck weekly tribune. [volume],Washington,District of Columbia,2/14/1877,https://chroniclingamerica.loc.gov/lccn/sn84022129/1877-02-14/ed-1/seq-2/#words=on+his+person,"gun, slung-shot, sword cane, knife, brass knuckles, ammunition",70,m,,Governor,Perpetrator,Voter Fraud,
NYT,New York,New York,4/23/1877,https://timesmachine.nytimes.com/timesmachine/1877/04/23/80642282.html?pageNumber=8,money,,m,,appeared to be a business man,Act of insanity,Act of insanity,Set several small fires
Nebraska advertiser. [volume],San Francisco,California,5/24/1877,https://chroniclingamerica.loc.gov/lccn/sn84020109/1877-05-24/ed-1/seq-1/#words=in+his+pocket,letter,,m,,,Victim,Spontaneous combustion,From San Francisco Chronicle
NYT,Baltimore,Maryland,8/4/1877,https://timesmachine.nytimes.com/timesmachine/1877/08/04/81707988.html?pageNumber=1,"letter, clippings, murder confession",,m,,Con artist,Perpetrator,"Theft, impersonation, Murder, grave robbing",
Dodge City times. [volume],Palo Duro,Texas,10/20/1877,https://chroniclingamerica.loc.gov/lccn/sn84029838/1877-10-20/ed-1/seq-5/#words=in+his+possession,gold,,m,,,Perpetrator,Murder,
Philadelphia Medical Times (1871-1889),Philadelphia,Pennsylvania,12/8/1877,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/case-arsenical-poisoning-treated-with-dialyzed/docview/136875704/se-2?accountid=9959,arsenic packet,young,f,,,Victim,Accident,Nursed victim
Morning appeal. [volume],Carson City,Nevada,12/18/1877,https://chroniclingamerica.loc.gov/lccn/sn86076999/1877-12-18/ed-1/seq-3/#words=on+his+person,opium,advanced in years,m,Chinese,,Victim,Suicide,
Morning appeal. [volume],Carson City,Nevada,12/18/1877,https://chroniclingamerica.loc.gov/lccn/sn86076999/1877-12-18/ed-1/seq-3/#words=on+his+person,"money, check",,m,,wealthy,Perpetrator,Public drunkenness,
Dodge City times. [volume],Bakersfield,California,1/12/1878,https://chroniclingamerica.loc.gov/lccn/sn84029838/1878-01-12/ed-1/seq-6/#words=in+his+pockets,key,,m,,Sheriff,Victim,Theft,"Sheriff's keys stolen by lynch mob, took place in Bakersfield, CA"
Dodge City times. [volume],Bakersfield,California,1/12/1878,https://chroniclingamerica.loc.gov/lccn/sn84029838/1878-01-12/ed-1/seq-6/#words=in+his+pockets,"key, money",,m,,Wells Fargo Agent,Victim,Theft,"Took place in Bakersfield, CA"
NYT,New York,New York,2/24/1878,https://www.nytimes.com/1878/02/24/archives/adroit-pocketpicking.html,"watch, chain",,m,German,,Victim,Theft,
NYT,New York,New York,3/10/1878,https://timesmachine.nytimes.com/timesmachine/1878/03/10/issue.html,"handkerchief, money",,f,Scotch,washerwoman,Victim,Lost Property,
NYT,New York,New York,3/10/1878,https://timesmachine.nytimes.com/timesmachine/1878/03/10/issue.html,"money, theatre ticket",young,m,,,Victim,Lost Property,
NYT,New York,New York,3/10/1878,https://timesmachine.nytimes.com/timesmachine/1878/03/10/issue.html,money,old,f,,,Victim,Lost Property,"""Her description was given in as general terms as possible, and might have answered for any pocket-book made of russia leather, as nearly all those now in use are."""
NYT,New York,New York,3/10/1878,https://timesmachine.nytimes.com/timesmachine/1878/03/10/issue.html,"money, clippings",young,f,,,Victim,Lost Property,
NYT,New York,New York,3/10/1878,https://timesmachine.nytimes.com/timesmachine/1878/03/10/issue.html,"money, clippings",young,f,,,Victim,Lost Property,
NYT,New York,New York,3/10/1878,https://timesmachine.nytimes.com/timesmachine/1878/03/10/issue.html,"money, ferry ticket",young,f,,,Victim,Lost Property,
NYT,New York,New York,3/10/1878,https://timesmachine.nytimes.com/timesmachine/1878/03/10/issue.html,"money, clippings, train ticket",young,f,,,Victim,Lost Property,
NYT,New York,New York,3/10/1878,https://timesmachine.nytimes.com/timesmachine/1878/03/10/issue.html,money,,f,,,Victim,Lost Property,
NYT,New York,New York,3/10/1878,https://timesmachine.nytimes.com/timesmachine/1878/03/10/issue.html,"money, key, milk ticket",,f,,,Victim,Lost Property,"""It also contained some newspaper clippings, for nearly everybody has some newspaper clippings in his pocket-book."""
NYT,New York,New York,3/10/1878,https://timesmachine.nytimes.com/timesmachine/1878/03/10/issue.html,"money, receipt",,f,,,Victim,Lost Property,
NYT,New York,New York,3/10/1878,https://timesmachine.nytimes.com/timesmachine/1878/03/10/issue.html,money,,f,,,Victim,Lost Property,
The news and herald.,Winnsboro,South Carolina,5/25/1878,https://chroniclingamerica.loc.gov/lccn/sn93067705/1878-05-25/ed-1/seq-2/#words=of+her+pockets,"bottles, pint dipper, spoons, knife, razor, tea, coffee, salt, sugar, bread, soap, wire, clothes",,f,,tramp,Perpetrator,Vagrancy,
NYT,Yonkers,New York,7/2/1878,https://www.nytimes.com/1878/07/02/archives/mrs-wertheimer-found-drowned-her-body-discovered-floating-in-the.html,"watch, money",,f,,,Victim,Drowning,
The National Police Gazette (1845-1906),Lebanon,Ohio,7/13/1878,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/wifes-strange-story/docview/127596682/se-2?accountid=9959,laudanum,,f,,wife of retired saloon keeper,Victim,Attempted Suicide,
NYT,New York,New York,12/13/1878,https://timesmachine.nytimes.com/timesmachine/1878/12/13/80739406.html?pageNumber=3,memorandum book,,m,,Preacher,Victim,Suicide,
NYT,New York,New York,12/25/1878,https://www.nytimes.com/1878/12/25/archives/missing-persons.html,"paint, varnish brushes, tin can, money, watch, chain",,m,,carriage painter,Victim,Missing Person,
The National Police Gazette (1845-1906),Norwalk,Connecticut,1/11/1879,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/mysterious-tragedy/docview/127614452/se-2?accountid=9959,money,,m,,Wealthy gentleman,Victim,Murder,
"The New Bloomfield, Pa. times.",New Bloomfield,Pennsylvania,2/4/1879,https://chroniclingamerica.loc.gov/lccn/sn90069164/1879-02-04/ed-1/seq-8/#words=on+his+person,money,,m,,Farmer,Victim,Murder,
NYT,New York,New York,5/8/1879,https://timesmachine.nytimes.com/timesmachine/1879/05/08/issue.html,money,,f,,widow,Victim,Theft,
The National Police Gazette (1845-1906),New York,New York,6/14/1879,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/sobered-being-buried/docview/127613119/se-2?accountid=9959,calling card,,m,,Carpenter,Victim,Murder,
Massachusetts Ploughman and New England Journal of Agriculture (1842-1906),Laconia,New Hampshire,8/9/1879,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/article-3-no-title/docview/136365402/se-2?accountid=9959,jewels,,f,,,Perpetrator,Theft,
"The New England Farmer, and Horticultural Register (1822-1890)",Boston,Massachusetts,8/23/1879,http://nuncio.cofc.edu/login?url=https://www.proquest.com/trade-journals/murder-boston/docview/127881980/se-2?accountid=9959,"silver, watch",,m,,merchant,Victim,Murder,
The National Police Gazette (1845-1906),New York,New York,8/30/1879,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/murder-mid-ocean/docview/127607142/se-2?accountid=9959,knife,,m,Danish,steerage passenger,Perpetrator,Murder,
The National Police Gazette (1845-1906),New York,New York,8/30/1879,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/suicide-steamer/docview/127602874/se-2?accountid=9959,"pawn ticket, note, bill",25-30,f,English,,Victim,Suicide,
NYT,New York,New York,10/2/1879,https://timesmachine.nytimes.com/timesmachine/1879/10/02/80697529.html?pageNumber=3,money,,m,,,Victim,Theft,
"The New Bloomfield, Pa. times.",Philadelphia,Pennsylvania,10/7/1879,https://chroniclingamerica.loc.gov/lccn/sn90069164/1879-10-07/ed-1/seq-8/#words=in+her+pocketbook,"money, ring",,f,,,Victim,Theft,
Daily press and Dakotaian. [volume],Yankton,South Dakota,12/13/1879,https://chroniclingamerica.loc.gov/lccn/sn84022144/1879-12-13/ed-1/seq-4/#words=from+his+pockets,money,,m,,,Victim,"Assault, Theft",
The National Police Gazette (1845-1906),New York,New York,12/13/1879,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/astounding-conspiracy/docview/127604245/se-2?accountid=9959,money,40,m,,,Perpetrator,Attempted Murder,
The National Police Gazette (1845-1906),Brooklyn,New York,1/10/1880,https://timesmachine.nytimes.com/timesmachine/1880/01/10/98876762.html?pageNumber=3,money,,f,,wife of merchant,Perpetrator,Public drunkenness,
NYT,New York,New York,1/10/1880,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/her-pocketbook-was-there/docview/127616723/se-2?accountid=9959,money,,f,,,Victim,Theft,
NYT,Tilton,New Hampshire,2/2/1880,https://timesmachine.nytimes.com/timesmachine/1880/02/02/98883506.html?pageNumber=1,money,,m,,Tax Collector,Both,Lost Property,
NYT,New York,New York,3/11/1880,https://timesmachine.nytimes.com/timesmachine/1880/03/11/issue.html,"money, papers, receipt, train ticket, bill",,m,,,Victim,Lost Property,
NYT,New York,New York,3/11/1880,https://timesmachine.nytimes.com/timesmachine/1880/03/11/issue.html,"money, receipt, card, civil war union enlistment report, calling card, pencil",,m,,,Victim,Lost Property,
NYT,New York,New York,3/11/1880,https://timesmachine.nytimes.com/timesmachine/1880/03/11/issue.html,"card, calling card, receipt, dance card, money",,,,,Victim,Lost Property,
NYT,New York,New York,3/11/1880,https://timesmachine.nytimes.com/timesmachine/1880/03/11/issue.html,"card, stone,",,,,,Victim,Lost Property,
NYT,New York,New York,3/11/1880,https://timesmachine.nytimes.com/timesmachine/1880/03/11/issue.html,"money, key, papers",,,,,Victim,Lost Property,
NYT,New York,New York,3/11/1880,https://timesmachine.nytimes.com/timesmachine/1880/03/11/issue.html,"money, stamp",,f,,cook,Victim,Lost Property,
NYT,New York,New York,3/11/1880,https://timesmachine.nytimes.com/timesmachine/1880/03/11/issue.html,"money, calling card",,f,,,Victim,Lost Property,
NYT,New York,New York,3/11/1880,https://timesmachine.nytimes.com/timesmachine/1880/03/11/issue.html,"money, ivory",,f,,,Victim,Lost Property,paper
NYT,New York,New York,3/11/1880,https://timesmachine.nytimes.com/timesmachine/1880/03/11/issue.html,money,,f,,,Victim,Lost Property,
NYT,New York,New York,3/11/1880,https://timesmachine.nytimes.com/timesmachine/1880/03/11/issue.html,money,,f,,,Victim,Lost Property,
The Dallas daily herald. [volume],Dallas,Texas,3/23/1880,https://chroniclingamerica.loc.gov/lccn/sn83025733/1880-03-23/ed-1/seq-1/#words=in+his+pocket,gun,,m,,,Perpetrator,Murder,
NYT,New York,New York,4/10/1880,https://www.nytimes.com/1880/04/10/archives/death-from-laudanum.html,laudanum,,m,,engraver,Victim,Suicide,
The National Police Gazette (1845-1906),Nashville,Tennessee,9/11/1880,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/society-notes/docview/127607538/se-2?accountid=9959,money,,f,,,Victim,Assault,Perpetrator lynched
The Vancouver independent.,Vancouver,Washington,10/7/1880,https://chroniclingamerica.loc.gov/lccn/sn87093109/1880-10-07/ed-1/seq-2/#words=from+his+pockets,"snakes, spiders, scorpions, centipedes, lizards",,m,,,Perpetrator,Animal smuggling?,
NYT,Wytheville,Virginia,11/7/1880,https://www.nytimes.com/1880/11/07/archives/senator-witherss-pocketbook-it-is-stolen-in-this-citya-forged-check.html,"money, check, canceled note",59,m,,Senator,Victim,Theft,
NYT,New York,New York,12/22/1880,https://www.nytimes.com/1880/12/22/archives/missing-from-his-friends-anxiety-about-a-frenchman-who-had-money-in.html,money,52,m,French,businessman,Victim,Missing Person,
The Morehouse clarion. [volume],Ringgold,Louisiana,3/4/1881,https://chroniclingamerica.loc.gov/lccn/sn86053659/1881-03-04/ed-1/seq-4/#words=from+his+pocket,gun,young,m,,members of families of high standing,Perpetrator,Attempted Murder,
The Sedalia weekly bazoo. [volume],Sedalia,Missouri,3/15/1881,https://chroniclingamerica.loc.gov/lccn/sn90061066/1881-03-15/ed-1/seq-3/#words=in+his+pocketbook,money,,m,Black,,Perpetrator,Theft,
The Sedalia weekly bazoo. [volume],Sedalia,Missouri,3/15/1881,https://chroniclingamerica.loc.gov/lccn/sn90061066/1881-03-15/ed-1/seq-3/#words=in+his+pocketbook,money,,m,,,Victim,Theft,
NYT,New York,New York,5/18/1881,https://www.nytimes.com/1881/05/18/archives/miscellaneous-city-news-probable-suicide-by-a-child-effie-person.html,money,,m,,clerk of piano store,Victim,Theft,
NYT,New York,New York,5/18/1881,https://www.nytimes.com/1881/05/18/archives/miscellaneous-city-news-probable-suicide-by-a-child-effie-person.html,gun,14,f,,daughter of clerk of piano company,Victim,Suicide,
NYT,New York,New York,5/18/1881,https://www.nytimes.com/1881/05/18/archives/miscellaneous-city-news-probable-suicide-by-a-child-effie-person.html,money,,m,,clerk of piano store,Victim,Theft,
NYT,New York,New York,5/18/1881,https://www.nytimes.com/1881/05/18/archives/miscellaneous-city-news-probable-suicide-by-a-child-effie-person.html,gun,14,f,,daughter of clerk of piano company,Victim,Suicide,
NYT,Bradford,Pennsylvania,6/20/1881,https://www.nytimes.com/1881/06/20/archives/an-unknown-body-found.html,bill,45,m,,well dressed,Victim,Unidentified body,
Daily evening bulletin. [volume],Flemingsburg,Kentucky,12/9/1881,https://chroniclingamerica.loc.gov/lccn/sn86069124/1881-12-09/ed-1/seq-1/#words=from+his+pocket,gun,18,m,,,Perpetrator,Rape,
NYT,New York,New York,12/26/1881,https://timesmachine.nytimes.com/timesmachine/1881/12/26/106238338.html?pageNumber=8,"money, note",,f,,,Victim,Theft,
