Source,City,State,Date,Link,Item(s),Age,Gender,Race,Profession,Perpetrator/Victim/Other,Crime,Notes
The Silver state. [volume],Unionville,Nevada,1/21/1882,https://chroniclingamerica.loc.gov/lccn/sn84022060/1882-01-21/ed-1/seq-3/#words=from+his+pockets,money,,m,,,Victim,Theft,
Evening bulletin. [volume],New York,New York,2/25/1882,https://chroniclingamerica.loc.gov/lccn/sn86069125/1882-02-25/ed-1/seq-3/#words=on+his+person,"letter, money",,m,,,Perpetrator,Counterfeiter,
NYT,Chicago,Illinois,4/24/1882,https://www.nytimes.com/1882/04/24/archives/a-street-murder-in-chicago-an-unknown-man-killedthe-murderers.html,"card, ",,m,,,Victim,Murder,
NYT,Chicago,Illinois,4/24/1882,https://www.nytimes.com/1882/04/24/archives/a-street-murder-in-chicago-an-unknown-man-killedthe-murderers.html,"money, gun",,m,,Farmer,Perpetrator,Murder,
NYT,New York,New York,7/7/1882,https://www.nytimes.com/1882/07/07/archives/steve-raymond-in-custody-a-noted-forger-caught-with-skeleton-keys.html,"burglar's tools, key",middle aged,m,,forger,Perpetrator,"Assault, Theft",
NYT,New York,New York,7/7/1882,https://www.nytimes.com/1882/07/07/archives/steve-raymond-in-custody-a-noted-forger-caught-with-skeleton-keys.html,watch,,m,,,Victim,"Assault, Theft",
NYT,New York,New York,7/7/1882,https://www.nytimes.com/1882/07/07/archives/steve-raymond-in-custody-a-noted-forger-caught-with-skeleton-keys.html,watch,,m,,,Victim,"Assault, Theft",
NYT,New York,New York,7/7/1882,https://www.nytimes.com/1882/07/07/archives/steve-raymond-in-custody-a-noted-forger-caught-with-skeleton-keys.html,"burglar's tools, key",middle aged,m,,forger,Perpetrator,"Assault, Theft",
The Albany Law Journal; A Weekly Record of the Law and the Lawyers (1870-1908),Jessamine,Kentucky,7/8/1882,http://nuncio.cofc.edu/login?url=https://www.proquest.com/reports/notes/docview/124847611/se-2?accountid=9959,gun,,m,,,Victim,Murder,https://cite.case.law/ky/78/183/
The river press. [volume],Fort Benton,Montana,7/19/1882,https://chroniclingamerica.loc.gov/lccn/sn85053157/1882-07-19/ed-1/seq-3/#words=from+his+pocket,gun,,m,,,Both,Gunshot wound,
Huntsville gazette. [volume],Manitowac,Wisconsin,9/30/1882,https://chroniclingamerica.loc.gov/lccn/sn84020151/1882-09-30/ed-1/seq-1/#words=from+her+pockets,money,,f,,,Victim,"Murder, Theft",
The National Police Gazette (1845-1906),Little Rock,Arkansas,10/21/1882,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/arkansas-terror/docview/127616115/se-2?accountid=9959,money,,m,Black,,Victim,Murder,
The National Police Gazette (1845-1906),Little Rock,Arkansas,10/21/1882,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/arkansas-terror/docview/127616115/se-2?accountid=9959,money,,m,Irish,Trackwalker,Victim,Murder,
The National Police Gazette (1845-1906),Little Rock,Arkansas,10/21/1882,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/arkansas-terror/docview/127616115/se-2?accountid=9959,money,,m,,Trackwalker,Victim,Murder,
The National Police Gazette (1845-1906),Little Rock,Arkansas,10/21/1882,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/arkansas-terror/docview/127616115/se-2?accountid=9959,money,,m,,,Victim,Murder,
The Salt Lake herald. [volume],Ogden,Utah,12/6/1882,https://chroniclingamerica.loc.gov/lccn/sn85058130/1882-12-06/ed-1/seq-4/#words=Coroners+Inquest,typeface,35,m,,,Victim,Accident,
The Daily Astorian. [volume],Warsaw,Wisconsin,1/26/1883,https://chroniclingamerica.loc.gov/lccn/sn96061149/1883-01-26/ed-1/seq-1/#words=in+his+pocket,knife,,m,French Canadian,Logger,Victim,Accident,"Took place in Warsaw, WI in 1872"
The National Police Gazette (1845-1906),Santa Clara,New Mexico,3/3/1883,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/parsons-discovery/docview/127606723/se-2?accountid=9959,"gold, watch",,m,Chinese,rancher,Victim,Murder,
The National Police Gazette (1845-1906),Santa Clara,New Mexico,3/3/1883,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/parsons-discovery/docview/127606723/se-2?accountid=9959,"gold, watch",,m,Chinese,rancher,Victim,Murder,
The National Police Gazette (1845-1906),Santa Clara,New Mexico,3/3/1883,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/parsons-discovery/docview/127606723/se-2?accountid=9959,"gold, watch",,m,Chinese,rancher,Victim,Murder,
The National Police Gazette (1845-1906),Santa Clara,New Mexico,3/3/1883,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/parsons-discovery/docview/127606723/se-2?accountid=9959,"gold, watch",,m,Chinese,rancher,Victim,Murder,
The Milan exchange.,Hico,Texas,3/24/1883,https://chroniclingamerica.loc.gov/lccn/sn86053488/1883-03-24/ed-1/seq-4/#words=in+his+pocket,"pocketbook, money, photograph, book",35,m,,,Act of insanity,Act of insanity,"Took place in ""Hico"""
The Frankfort roundabout. [volume],Frankfort,Kentucky,3/31/1883,https://chroniclingamerica.loc.gov/lccn/sn86069848/1883-03-31/ed-1/seq-3/#words=in+his+possession,"meat, burglar's tools",,m,Black,ex-convict,Perpetrator,Theft,
The National Police Gazette (1845-1906),Glendale,Montana,4/7/1883,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/montona-horror/docview/127605288/se-2?accountid=9959,money,,m,,,Victim,Murder,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/murderer-burns-corpse/docview/127605290/se-2?accountid=9959
The Frankfort roundabout. [volume],Frankfort,Kentucky,6/16/1883,https://chroniclingamerica.loc.gov/lccn/sn86069848/1883-06-16/ed-1/seq-2/#words=from+the+pockets,"money, knife",,m,,,Victim,Theft,Black perp
The daily enterprise. [volume],Livingston,Montana,6/22/1883,https://chroniclingamerica.loc.gov/lccn/sn85053382/1883-06-22/ed-1/seq-1/#words=on+his+person,"money, letter",,m,,railroad worker,Victim,"Theft, Murder",
The Youth's Companion (1827-1929),Boston,Massachusetts,7/26/1883,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/conscience/docview/127057407/se-2?accountid=9959,money,,f,,poor widow,Victim,Theft,
The daily enterprise. [volume],Livingston,Montana,8/1/1883,https://chroniclingamerica.loc.gov/lccn/sn85053382/1883-08-01/ed-1/seq-1/#words=in+her+pocketbook,"money, ring",,m,,,Victim,Theft,
NYT,Lawrence,Massachusetts,8/12/1883,https://www.nytimes.com/1883/08/12/archives/a-terrible-death-a-drunken-man-on-a-revolving-belt-four-hours.html,"money, gun, barrels, knife",02/08/1900,m,,,Victim,Accident,
The daily enterprise. [volume],Livingston,Montana,8/16/1883,https://chroniclingamerica.loc.gov/lccn/sn85053382/1883-08-16/ed-1/seq-2/#words=in+his+pocket,gun,,m,,,Perpetrator,Murder,
Sun River sun. [volume],Sun River,Montana,3/20/1884,https://chroniclingamerica.loc.gov/lccn/sn86075197/1884-03-20/ed-1/seq-2/#words=from+his+pockets,"money, knife",,m,,"""one of our most influential and wealthiest citizens""",Victim,Theft,
NYT,Dennisport,Massachusetts,4/3/1884,https://www.nytimes.com/1884/04/03/archives/an-unknown-body-found.html,receipt,,m,,sailor,Victim,Unknown body,
Daily evening bulletin. [volume],Pocahontas,Virginia,4/14/1884,https://chroniclingamerica.loc.gov/lccn/sn87060189/1884-04-14/ed-1/seq-1/#words=Coroners+Inquest,"knife, pocketbook",,m,Black,miner,Victim,Mine Explosion,
The National Police Gazette (1845-1906),New York,New York,7/5/1884,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/broadway-rounder/docview/127612231/se-2?accountid=9959,"watch, chain",,m,,Con artist,Perpetrator,Theft,
The National Police Gazette (1845-1906),New York,New York,7/5/1884,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/broadway-rounder/docview/127612231/se-2?accountid=9959,money,21,m,,wealthy son,Victim,Theft,
The daily enterprise. [volume],Livingston,Montana,8/11/1884,https://chroniclingamerica.loc.gov/lccn/sn85053382/1884-08-11/ed-1/seq-1/#words=in+his+pocket,knife,,m,,,Perpetrator,Murder,
NYT,Cornwall,New York,9/19/1884,https://www.nytimes.com/1884/09/19/archives/assaulted-on-her-way-home-a-girls-narrow-escape-from-the-clutches.html,purse,30,m,Black,,Perpetrator,"Assault, Theft",Black assailant
NYT,Bridgeport,Connecticut,9/29/1884,https://www.nytimes.com/1884/09/29/archives/an-unknown-suicide.html,"knife, gun",40,m,,,Victim,Suicide,
Daily evening bulletin. [volume],Maysville,Kentucky,12/1/1884,https://chroniclingamerica.loc.gov/lccn/sn87060189/1884-12-01/ed-1/seq-3/#words=from+his+pockets,money,,m,,,Victim,Theft,
The daily Cairo bulletin.,Cairo,Illinois,12/12/1884,https://chroniclingamerica.loc.gov/lccn/sn87082573/1884-12-12/ed-1/seq-1/#words=in+her+reticule,"check, money, handkerchief",,f,,millionaire's widow,Victim,Theft,
Omaha daily bee.,Kansas City,Missouri,1/13/1885,https://chroniclingamerica.loc.gov/lccn/sn99021999/1885-01-13/ed-1/seq-7/#words=Unknown+body,"brakeman's badge, photograph",young,m,,railroad employee,Victim,Suicide,
Idaho semi-weekly world. [volume],Idaho City,Idaho,4/14/1885,https://chroniclingamerica.loc.gov/lccn/sn84022135/1885-04-14/ed-1/seq-3/#words=on+his+person,letter,,m,,fruit tree salesman,Victim,Suicide,
The Frankfort roundabout. [volume],Frankfort,Kentucky,6/20/1885,https://chroniclingamerica.loc.gov/lccn/sn86069848/1885-06-20/ed-1/seq-2/#words=in+her+possession,"money, key",,f,Black,cook,Perpetrator,Theft,
NYT,Amsterdam,New York,6/27/1885,https://www.nytimes.com/1885/06/27/archives/an-unknown-body-found.html,"money, laundry check",35,m,,,Victim,Sudden death,
NYT,Amsterdam,New York,6/27/1885,https://www.nytimes.com/1885/06/27/archives/an-unknown-body-found.html,"money, laundry check",35,m,,,Victim,Unknown death,
Springfield globe-republic.,Kansas City,Missouri,8/7/1885,https://chroniclingamerica.loc.gov/lccn/sn87076916/1885-08-07/ed-1/seq-1/#words=in+his+hand-bag,"gun, cartridges, money",,m,,Farmer,Perpetrator,Attempted Murder,Murder of President
Daily evening bulletin. [volume],Baltimore,Maryland,11/20/1885,https://chroniclingamerica.loc.gov/lccn/sn87060189/1885-11-20/ed-1/seq-4/#words=from+her+pocket,gun,,f,,richly dressed,Victim,Attempted Suicide,
NYT,Troy,New York,1/20/1886,https://www.nytimes.com/1886/01/20/archives/caged-after-two-years-william-d-porter-again-in-the-hands-of.html,"money, watch, chain, diamonds, jewelers tweezers",45,m,,,Perpetrator,Theft,
NYT,New Haven,Connecticut,3/25/1886,https://www.nytimes.com/1886/03/25/archives/found-drowned-in-a-pond.html,stones,aged,m,,,Victim,Suicide,
The midland journal.,Rising Sun,Maryland,5/7/1886,https://chroniclingamerica.loc.gov/lccn/sn89060136/1886-05-07/ed-1/seq-8/#words=in+her+possession,bank notes,,f,,Alms House inmates,Victim,Death,
The Sedalia weekly bazoo. [volume],Sedalia,Missouri,6/22/1886,https://chroniclingamerica.loc.gov/lccn/sn90061066/1886-06-22/ed-1/seq-5/#words=in+her+possession,key,,f,Black,,Perpetrator,Theft,
The Sedalia weekly bazoo. [volume],Sedalia,Missouri,1/4/1887,https://chroniclingamerica.loc.gov/lccn/sn90061066/1887-01-04/ed-1/seq-6/#words=Unknown+body,"handkerchief, hazelnuts",50,m,red hair,tramp or railroad worker,Victim,Unidentified body,
NYT,Staten Island,New York,2/4/1887,https://www.nytimes.com/1887/02/04/archives/a-staten-island-mystery-an-unknown-and-well-dressed-man-found.html,"money, note, clippings, calling card",60-70,m,,well off,Victim,Unidentified body,
NYT,New York,New York,6/18/1887,https://www.nytimes.com/1887/06/18/archives/mr-frenchs-pocketbook.html,money,,m,,board of police residents,Victim,Theft,
Omaha daily bee.,Omaha,Nebraska,7/13/1887,https://chroniclingamerica.loc.gov/lccn/sn99021999/1887-07-13/ed-1/seq-6/#words=in+the+pocketbook,"draft, check",,m,,bank messenger,Victim,Theft,
Omaha daily bee.,Omaha,Nebraska,7/13/1887,https://chroniclingamerica.loc.gov/lccn/sn99021999/1887-07-13/ed-1/seq-6/#words=in+the+pocketbook,"papers, money, receipt, note, gold, check",,,,merchant,Victim,Theft,
NYT,Concord,New Hampshire,12/11/1887,https://timesmachine.nytimes.com/timesmachine/1887/12/11/109314574.html?pageNumber=12,"memorandum book, band accounts, letter, money",,m,,musician,Victim,Fire,
NYT,New York,New York,7/6/1888,https://www.nytimes.com/1888/07/06/archives/andrew-bradys-pocketbook.html,"grand army of the republic membership card, envelope, bond",,m,,constable,Victim,Lost Property,
NYT,New York,New York,7/6/1888,https://www.nytimes.com/1888/07/06/archives/andrew-bradys-pocketbook.html,"grand army of the republic membership card, envelope, replevin bond",,m,,constable,Victim,Lost Property,
The National Police Gazette (1845-1906),Lancaster,Pennsylvania,11/3/1888,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/very-dramatic/docview/127616931/se-2?accountid=9959,"letter, photograph",,m,,,Perpetrator,"Adultery, Abuse, Murder",
NYT,Detroit,Michigan,1/11/1889,https://timesmachine.nytimes.com/timesmachine/1889/01/11/issue.html,"money, watch",,m,,,Victim,"Assault, Theft",
Iuka reporter.,Meridian,Mississippi,6/13/1889,https://chroniclingamerica.loc.gov/lccn/sn87065215/1889-06-13/ed-1/seq-1/#words=in+her+possession,"weapons, counterfeit money",,f,,,Perpetrator,"Counterfeiter, Weapons possession",
NYT,East Kingston,New York,7/18/1889,https://www.nytimes.com/1889/07/18/archives/whose-body-is-this.html,steamship ticket,,m,,brickyard worker,Victim,Unidentified body,
NYT,Elizabeth,New Jersey,7/19/1889,https://www.nytimes.com/1889/07/19/archives/a-pretty-mean-father.html,money,,m,,children,Perpetrator,Theft,"Abusive alcoholic father, released"
NYT,New York,New York,8/11/1889,https://www.nytimes.com/1889/08/11/archives/ejected-from-the-mission.html,money,,f,German,servant,Victim,Theft,
NYT,New York,New York,10/5/1889,https://www.nytimes.com/1889/10/05/archives/a-pocket-of-peculiar-make.html,money,,f,,,Victim,Theft,
Fort Worth daily gazette.,Fort Worth,Texas,5/30/1890,https://chroniclingamerica.loc.gov/lccn/sn86064205/1890-05-30/ed-1/seq-10/#words=in+her+possession,gun,,f,,,Perpetrator,Weapons possession,property of man named Devine
The Big Stone post.,Chicago,Illinois,8/15/1890,https://chroniclingamerica.loc.gov/lccn/sn87060150/1890-08-15/ed-1/seq-7/#words=in+his+pocket,"money, envelope",,m,,Grifter,Perpetrator,Grifter,From Chicago Times
NYT,New York,New York,10/6/1890,https://www.nytimes.com/1890/10/06/archives/a-biter-possibly-bitten-the-police-stumble-on-a-curious-greengoods.html,"counterfeit money, gun",01/28/1900,m,,Farmer,Perpetrator,Green Goods Scam,
The National Police Gazette (1845-1906),West Medford,Massachusetts,10/11/1890,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/robbers-foiled/docview/127620589/se-2?accountid=9959,"money, note",17,f,,student,Victim,Missing Person,Jumped from train
Cherokee scout. [volume],Murphy,North Carolina,10/21/1890,https://chroniclingamerica.loc.gov/lccn/sn83004710/1890-10-21/ed-1/seq-1/#words=on+her+person,knife,,f,English,,Perpetrator,Murder,
The National Police Gazette (1845-1906),Monroe,Connecticut,12/6/1890,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/capt-seeleys-death/docview/127631357/se-2?accountid=9959,rope,,m,German,farm hand,Perpetrator,Murder,
Michigan Farmer (1843-1908),Lansing,Michigan,12/20/1890,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/got-even-with-her/docview/136520641/se-2?accountid=9959,box,child,f,,,Victim,Prank,
Arizona silver belt. [volume],Miami,Arizona,1/10/1891,https://chroniclingamerica.loc.gov/lccn/sn84021913/1891-01-10/ed-1/seq-2/#words=Coroners+Inquest,gun,,m,,Doctor,Victim,Murder,
The Caldwell tribune. [volume],Silver City,Idaho,2/7/1891,https://chroniclingamerica.loc.gov/lccn/sn86091092/1891-02-07/ed-1/seq-4/#words=of+his+pockets,toes,,m,,woodchopper,Victim,Accident,
NYT,Tacoma,Washington,3/16/1891,https://www.nytimes.com/1891/03/16/archives/a-smuggler-captured-taken-with-sixtyfive-cans-of-opium-in-his.html,opium,,m,,,Perpetrator,Smuggling,
The Youth's Companion (1827-1929),New York,New York,4/23/1891,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/she-caught-pickpocket/docview/127079648/se-2?accountid=9959,money,,f,,Wealthy lady,Victim,Theft,Mistaken identity
The Wheeling daily intelligencer. [volume],Wheeling,West Virginia,5/22/1891,https://chroniclingamerica.loc.gov/lccn/sn84026844/1891-05-22/ed-1/seq-2/#words=in+his+pocket,gun,61,m,,doctor,Victim,Murder,
Mexico weekly ledger.,Mexico,Missouri,5/28/1891,https://chroniclingamerica.loc.gov/lccn/sn89067274/1891-05-28/ed-1/seq-1/#words=in+her+hand-bag,money,,f,,,Victim,Tornado,
The Salt Lake herald. [volume],Salt Lake City,Utah,6/30/1891,https://chroniclingamerica.loc.gov/lccn/sn85058130/1891-06-30/ed-1/seq-2/#words=in+his+possession,burglar's tools,,m,,,Perpetrator,possession of burglar's tools,many instances
The Salt Lake herald. [volume],Salt Lake City,Utah,6/30/1891,https://chroniclingamerica.loc.gov/lccn/sn85058130/1891-06-30/ed-1/seq-2/#words=in+his+possession,burglar's tools,,m,,,Perpetrator,possession of burglar's tools,many instances
The Helena independent. [volume],Helena,Montana,8/21/1891,https://chroniclingamerica.loc.gov/lccn/sn83025308/1891-08-21/ed-1/seq-5/#words=in+her+pocketbook,"watch, chain, money",,m,,,Victim,Theft,
The evening bulletin. [volume],Indianapolis,Indiana,10/21/1891,https://chroniclingamerica.loc.gov/lccn/sn87060190/1891-10-21/ed-1/seq-4/#words=Unknown+body,"knife, key",45,m,,Farmer,Victim,Sudden death,
The evening bulletin. [volume],Indianapolis,Indiana,10/21/1891,https://chroniclingamerica.loc.gov/lccn/sn87060190/1891-10-21/ed-1/seq-4/#words=Unknown+body,"knife, key",45,m,,Farmer,Victim,Unidentified body,
Daily independent. [volume],Elko,Nevada,12/30/1891,https://chroniclingamerica.loc.gov/lccn/sn84020355/1891-12-30/ed-1/seq-2/#words=from+his+pocket,gun,,m,,,Perpetrator,Attempted Murder,
The Waco evening news. [volume],Waco,Texas,1/29/1892,https://chroniclingamerica.loc.gov/lccn/sn86088201/1892-01-29/ed-1/seq-3/#words=of+her+pocket,"letter, money",young,f,repectability,,Victim,"Drugging, Theft",
The evening world. [volume],Philadelphia,Pennsylvania,2/9/1892,https://chroniclingamerica.loc.gov/lccn/sn83030193/1892-02-09/ed-3/seq-3/#words=in+her+possession,"diamonds, bag, papers, money",,f,,wife of wealthy man,Victim,"Robbery, Murder",
Olympia tribune.,Monterey,California,4/1/1892,https://chroniclingamerica.loc.gov/lccn/sn88085350/1892-04-01/ed-1/seq-1/#words=in+her+possession,"diamonds, watch",,f,,,Victim,"Robbery, Murder",
Mohave County miner. [volume],Mineral Park,Arizona,4/23/1892,https://chroniclingamerica.loc.gov/lccn/sn84024828/1892-04-23/ed-1/seq-1/#words=in+his+pockets,money,,m,,rancher,Victim,Murder,Cochise county
The Durham daily globe.,El Reno,Oklahoma,4/25/1892,https://chroniclingamerica.loc.gov/lccn/sn91068305/1892-04-25/ed-1/seq-4/#words=from+her+pocket,gun,,f,,,Perpetrator,Murder,
Hot Springs weekly star.,Hot Springs,South Dakota,6/24/1892,https://chroniclingamerica.loc.gov/lccn/sn96090259/1892-06-24/ed-1/seq-8/#words=in+her+possession,watch,,f,,,Victim,Theft,
The Madison daily leader. [volume],Peoria,Illinois,7/14/1892,https://chroniclingamerica.loc.gov/lccn/sn99062034/1892-07-14/ed-1/seq-1/#words=Unknown+body,bangle,,,,,Victim,Unidentified body,
The Frankfort roundabout. [volume],Frankfort,Kentucky,12/24/1892,https://chroniclingamerica.loc.gov/lccn/sn86069848/1892-12-24/ed-1/seq-4/#words=in+his+possession,counterfeit money,,m,,,Perpetrator,Counterfeiter,
The Frankfort roundabout. [volume],Frankfort,Kentucky,12/24/1892,https://chroniclingamerica.loc.gov/lccn/sn86069848/1892-12-24/ed-1/seq-4/#words=in+his+possession,counterfeit money,,m,,,Perpetrator,Counterfeiter,
Daily tobacco leaf-chronicle.,Clarksville,Tennessee,12/26/1892,https://chroniclingamerica.loc.gov/lccn/sn88061072/1892-12-26/ed-1/seq-1/#words=from+his+pockets,money,old,m,,,Victim,Theft,
NYT,Newark,New Jersey,12/28/1892,https://www.nytimes.com/1892/12/28/archives/his-body-found-frozen.html,"watch, money",,m,,forman of liquorice works,Victim,Murder,
NYT,Newark,New Jersey,12/28/1892,https://www.nytimes.com/1892/12/28/archives/his-body-found-frozen.html,"watch, money",,m,,forman of liquorice works,Victim,Murder,
NYT,New York,New York,2/26/1893,https://www.nytimes.com/1893/02/26/archives/seemed-loaded-with-quarters-but-the-colored-man-chew-his-supply.html,money,,m,Black,,Perpetrator,Theft,
NYT,New York,New York,4/5/1893,https://www.nytimes.com/1893/04/05/archives/charged-with-stealing-books-eb-gay-master-of-a-boston-school.html,book,51,m,,school headmaster,Perpetrator,Theft,
Rock Island daily Argus.,Sterling,Illinois,7/8/1893,https://chroniclingamerica.loc.gov/lccn/sn92053945/1893-07-08/ed-1/seq-8/#words=in+his+pockets,handkerchief,40,m,,,Victim,Drowning,
The Neihart herald. [volume],Boulder,Colorado,7/29/1893,https://chroniclingamerica.loc.gov/lccn/sn85053323/1893-07-29/ed-1/seq-1/#words=on+his+person,"gun, money, knife, watch",,m,,,Victim,Suicide,
The Daily Astorian. [volume],Astoria,Oregon,7/30/1893,https://chroniclingamerica.loc.gov/lccn/sn96061150/1893-07-30/ed-1/seq-1/#words=of+her+pocket,key,,f,,,Victim,Murder,
NYT,New York,New York,8/16/1893,https://www.nytimes.com/1893/08/16/archives/suicide-by-an-unknown-woman-shot-herself-twice-in-central-park-she.html,"gun, money, brass token, canadain coil, flower, newspaper, lock of hair, tickets for packages of tea, ring",32,f,German,,Victim,Suicide,
NYT,Monticello,New York,9/9/1893,https://www.nytimes.com/1893/09/09/archives/mrs-halliday-in-jail-she-was-conveyed-to-monticello-yesterday-and.html,watch,,f,,,Perpetrator,Murder,
The Waco evening news. [volume],Waco,Texas,11/9/1893,https://chroniclingamerica.loc.gov/lccn/sn86088201/1893-11-09/ed-1/seq-8/#words=on+his+person,watch,young,m,,sporty looking,Victim,Theft,
The National Police Gazette (1845-1906),Buffalo,New York,2/10/1894,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/walking-on-water/docview/127640945/se-2?accountid=9959,"cocaine, envelope",,f,,,Perpetrator,Murder,
NYT,New York,New York,3/23/1894,https://www.nytimes.com/1894/03/23/archives/young-rykoff-saved-by-friends-arrested-for-shopllfting-and-many.html,"pawn ticket, pin",young,m,pale faced,,Perpetrator,Theft,
The Topeka state journal. [volume],Topeka,Kansas,4/16/1894,https://chroniclingamerica.loc.gov/lccn/sn82016014/1894-04-16/ed-1/seq-3/#words=from+her+pocket,knife,,f,Black,,Perpetrator,Stabbing,
The western sentinel. [volume],Louisville,Kentucky,5/10/1894,https://chroniclingamerica.loc.gov/lccn/sn92073232/1894-05-10/ed-1/seq-1/#words=on+her+person,money,,f,,,Neither,Lawsuit controversy,
The Christian Recorder,Norristown,Pennsylvania,7/5/1894,"THE CHRISTIAN RECORDER, July 5, 1894.",gunpowder,,m,,,Victim,Accident,Injury
The Hawaiian gazette. [volume],Honolulu,Hawaii,7/27/1894,https://chroniclingamerica.loc.gov/lccn/sn83025121/1894-07-27/ed-1/seq-5/#words=in+his+possession,"knife, opium, gun",,m,,opium dealer?,Perpetrator,Murder,
