Source,City,State,Date,Link,Item(s),Age,Gender,Race,Profession,Perpetrator/Victim/Other,Crime,Notes
The National Police Gazette (1845-1906),Fort Lee,New Jersey,8/4/1894,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/victim-fiend/docview/127638822/se-2?accountid=9959,"handkerchief, rag",35,m,Italian,Laborer,Perpetrator,"Assault, Kidnapping",
The evening world. [volume],Newtown,New York,8/11/1894,https://chroniclingamerica.loc.gov/lccn/sn83030193/1894-08-11/ed-3/seq-3/#words=Unidentified+body,"eyeglasses, flask, note",02/23/1900,m,German,,Victim,Suicide,
The Daily bulletin. [volume],Honolulu,Hawaii,8/15/1894,https://chroniclingamerica.loc.gov/lccn/sn82016412/1894-08-15/ed-1/seq-3/#words=from+his+pockets,money,,m,Chinese,,Victim,Theft,Unnamed
NYT,Fort Worth,Texas,8/27/1894,https://www.nytimes.com/1894/08/27/archives/had-500000-in-his-possession.html,"money, stocks, bond",,m,,,Perpetrator,Forgery,
NYT,Fort Worth,Texas,8/27/1894,https://www.nytimes.com/1894/08/27/archives/had-500000-in-his-possession.html,"money, stocks, bond",,m,,,Perpetrator,Forgery,
The Daily bulletin. [volume],Chicago,Illinois,10/27/1894,https://chroniclingamerica.loc.gov/lccn/sn82016412/1894-10-27/ed-1/seq-5/#words=in+her+possession,letter,,f,,,Perpetrator,Theft,
The daily morning journal and courier. [volume],New York,New York,11/10/1894,https://chroniclingamerica.loc.gov/lccn/sn86091038/1894-11-07/ed-1/seq-1/#words=in+his+pocket,money,18,m,,silk weaver,Victim,Police Brutality,
The Kootenai herald. [volume],Tacoma,Washington,11/10/1894,https://chroniclingamerica.loc.gov/lccn/sn86091083/1894-11-10/ed-1/seq-3/#words=from+his+pockets,"papers, watch",,m,,,Victim,Murder,
NYT,New York,New York,12/2/1894,https://www.nytimes.com/1894/12/02/archives/pocketbook-makes-trouble-mrs-bergen-paid-the-rent-and-lived-high.html,money,,m,,landlorder,Victim,Lost Property,
The Portland daily press. [volume],Portland,Maine,2/15/1895,https://chroniclingamerica.loc.gov/lccn/sn83016025/1895-02-15/ed-1/seq-5/#words=in+his+pocket,warrant,,m,,US deputy marshall,Victim,Assault,
NYT,New York,New York,2/18/1895,https://www.nytimes.com/1895/02/18/archives/fell-from-the-top-of-east-rock-park-body-of-an-unknown-young-man.html,"waybills, rebate railroad check, money",,m,,,Victim,Unidentified body,
The Republican. [volume],Baltimore,Maryland,3/7/1895,https://chroniclingamerica.loc.gov/lccn/sn88065202/1895-03-07/ed-1/seq-1/#words=in+his+pockets,money,,m,,Farmer,Victim,Theft,
The Republican. [volume],Baltimore,Maryland,3/7/1895,https://chroniclingamerica.loc.gov/lccn/sn88065202/1895-03-07/ed-1/seq-1/#words=in+his+pockets,money,,m,,Farmer,Victim,Theft,
The San Francisco call. [volume],San Francisco,California,3/15/1895,https://chroniclingamerica.loc.gov/lccn/sn85066387/1895-03-15/ed-1/seq-9/#words=in+his+pocketbook,"railroad ticket, ARU card, pocketbook",,m,,railroad worker,Perpetrator,Train Accident,Alleged perp
Fort Worth gazette. [volume],Dallas,Texas,3/20/1895,https://chroniclingamerica.loc.gov/lccn/sn86071158/1895-03-20/ed-1/seq-4/#words=from+her+pockets,"money, stockings",,f,Black,,Perpetrator,"Assault, Theft",Accomplice
Fort Worth gazette. [volume],Dallas,Texas,3/20/1895,https://chroniclingamerica.loc.gov/lccn/sn86071158/1895-03-20/ed-1/seq-4/#words=from+her+pockets,knife,,f,Black,,Perpetrator,"Assault, Theft",Accomplice
Fort Worth gazette. [volume],Dallas,Texas,3/20/1895,https://chroniclingamerica.loc.gov/lccn/sn86071158/1895-03-20/ed-1/seq-4/#words=from+her+pockets,knife,,f,Black,,Perpetrator,"Assault, Theft",Accomplice
Fort Worth gazette. [volume],Dallas,Texas,3/20/1895,https://chroniclingamerica.loc.gov/lccn/sn86071158/1895-03-20/ed-1/seq-4/#words=from+her+pockets,"watch, gun, money",,m,,Blacksmith,Victim,"Assault, Theft",Black assailant
Fort Worth gazette. [volume],Dallas,Texas,3/20/1895,https://chroniclingamerica.loc.gov/lccn/sn86071158/1895-03-20/ed-1/seq-4/#words=from+her+pockets,"money,  knife",,m,,,Victim,Theft,
Fort Worth gazette. [volume],Dallas,Texas,3/20/1895,https://chroniclingamerica.loc.gov/lccn/sn86071158/1895-03-20/ed-1/seq-4/#words=from+her+pockets,"watch, gun, money",,m,,Blacksmith,Victim,"Assault, Theft",Black assailant
Fort Worth gazette. [volume],Dallas,Texas,3/20/1895,https://chroniclingamerica.loc.gov/lccn/sn86071158/1895-03-20/ed-1/seq-4/#words=from+her+pockets,"money, knife",,m,,,Victim,Robbery,
The Forrest City times. [volume],Forrest City,Arkansas,4/5/1895,https://chroniclingamerica.loc.gov/lccn/sn84022960/1895-04-05/ed-1/seq-5/#words=from+his+pocket,gun,,m,,newspaper editor,Perpetrator,Murder,
Bridgeton pioneer.,Bridgeton,New Jersey,4/18/1895,https://chroniclingamerica.loc.gov/lccn/sn87068192/1895-04-18/ed-1/seq-1/#words=in+her+hand+bag,"money, watch",,m,,Railroad Engineer,Victim,Theft,
The weekly messenger. [volume],"Breaux Bridge', 'Parks', 'Saint Martinville","Louisiana', 'Louisiana', 'Louisiana",4/27/1895,https://chroniclingamerica.loc.gov/lccn/sn88064454/1895-04-27/ed-1/seq-3/#words=in+his+pocket,money,,m,,,Victim,Theft,
NYT,New York,New York,6/26/1895,https://timesmachine.nytimes.com/timesmachine/1895/06/26/102463125.html?pageNumber=1,will and testament,,m,English,,Perpetrator,Vagrancy,
NYT,Pittston,Pennsylvania,7/8/1895,https://www.nytimes.com/1895/07/08/archives/shot-her-neighbor-by-mistake.html,gun,01/17/1900,f,,,Perpetrator,Murder,
The silver blade.,Spangle,Washington,7/20/1895,https://chroniclingamerica.loc.gov/lccn/sn88056092/1895-07-20/ed-1/seq-4/#words=from+his+pocket,razor,,m,,,Perpetrator,Murder,
NYT,New York,New York,7/25/1895,http://nuncio.cofc.edu/login?url=https://www-proquest-com.nuncio.cofc.edu/historical-newspapers/found-watch-his-pocket/docview/95318678/se-2?accountid=9959,watch,,m,,,Victim,Theft,
Pullman herald. [volume],Pullman,Washington,8/31/1895,https://chroniclingamerica.loc.gov/lccn/sn88085488/1895-08-31/ed-1/seq-1/#words=from+his+pocket,money,boy,m,,telephone boy,Victim,"Assault, Theft",
NYT,Riverhead,New York,11/10/1895,https://www.nytimes.com/1895/11/10/archives/wealth-decayed-around-him-lazamski-kept-his-fortune-in-a-belt.html,money,,m,Polish,railroad worker,Victim,Lost Property,
The news & observer. [volume],Weldon,North Carolina,12/18/1895,https://chroniclingamerica.loc.gov/lccn/sn85042104/1895-12-18/ed-1/seq-3/#words=from+his+pockets,money,,m,,ship painters foreman,Victim,Theft,
The herald. [microfilm reel],Los Angeles,California,12/21/1895,https://chroniclingamerica.loc.gov/lccn/sn85042461/1895-12-21/ed-1/seq-3/#words=in+her+hand+bag,shirt,,f,,,Perpetrator,Theft,
The eagle.,New York,New York,2/5/1896,https://chroniclingamerica.loc.gov/lccn/sn92070477/1896-02-05/ed-1/seq-12/#words=on+his+person,cologne bottle,young,m,,salesman,Victim,Theft,"New yorker, Baltimore Sun"
The eagle.,Silver City,New Mexico,5/6/1896,https://chroniclingamerica.loc.gov/lccn/sn92070477/1896-05-06/ed-1/seq-11/#words=from+his+pocket,"pipe, tobacco",,m,,quaker,Both,Road Rage,
The eagle.,Silver City,New Mexico,6/10/1896,https://chroniclingamerica.loc.gov/lccn/sn92070477/1896-06-10/ed-1/seq-10/#words=in+his+pocket,papers,,m,,,Perpetrator,Cattle Rustling,May have taken place in Juarez
The Sioux County journal. [volume],Lakeside,Nebraska,7/16/1896,https://chroniclingamerica.loc.gov/lccn/2018270201/1896-07-16/ed-1/seq-5/#words=from+his+pockets,"money, other valuables",,m,,,Victim,Murder,
Waterbury Democrat. [volume],Waterbury,Connecticut,8/8/1896,https://chroniclingamerica.loc.gov/lccn/2016270502/1896-08-08/ed-1/seq-4/#words=from+his+pocket,"scissors, razor",,m,Italian,,Perpetrator,Resisting Arrest,
Waterbury Democrat. [volume],Waterbury,Connecticut,8/8/1896,https://chroniclingamerica.loc.gov/lccn/2016270502/1896-08-08/ed-1/seq-4/#words=from+his+pocket,"scissors, razor",,m,Italian,,Perpetrator,Resisting Arrest,
The Hawaiian star. [volume],Honolulu,Hawaii,8/15/1896,https://chroniclingamerica.loc.gov/lccn/sn82015415/1896-08-15/ed-1/seq-1/#words=from+his+pockets,"money, letter of credit",,m,,millionaire planter,Victim,Kidnapping,
The evening bulletin. [volume],Pittsburgh,Pennsylvania,9/1/1896,https://chroniclingamerica.loc.gov/lccn/sn87060190/1896-09-01/ed-1/seq-1/#words=Unidentified+body,"note, calling card",,m,,,Victim,Suicide,
The Hawaiian star. [volume],Vallejo,California,9/1/1896,https://chroniclingamerica.loc.gov/lccn/sn82015415/1896-09-01/ed-1/seq-1/#words=in+his+possession,forged check,,m,,paymaster's clerk,Perpetrator,Forgery,
The herald. [microfilm reel],Los Angeles,California,9/5/1896,https://chroniclingamerica.loc.gov/lccn/sn85042461/1896-09-05/ed-1/seq-3/#words=Unidentified+Corpse,"gun, pipe, tobacco, note, glass, memorandum book, clippings",60,m,German,,Victim,Suicide,
The Mena weekly star. [volume],Farber,Missouri,9/16/1896,https://chroniclingamerica.loc.gov/lccn/sn85032996/1896-09-16/ed-1/seq-7/#words=on+his+person,letter,,m,,shoemaker,Victim,Accident,
The evening bulletin. [volume],Laporte,Indiana,10/15/1896,https://chroniclingamerica.loc.gov/lccn/sn87060190/1896-10-15/ed-1/seq-4/#words=in+his+possession,money,,m,,,Victim,Missing Person,
Twice-a-week plain dealer.,Cresco,Iowa,10/16/1896,https://chroniclingamerica.loc.gov/lccn/sn88059319/1896-10-16/ed-1/seq-1/#words=from+his+pockets,money,,m,,,Victim,Theft,
The new North-west. [volume],Deer Lodge,Montana,10/16/1896,https://chroniclingamerica.loc.gov/lccn/sn84038125/1896-10-16/ed-1/seq-5/#words=on+his+person,"money, watch, key",73,m,,vagrant,Perpetrator,Vagrancy,
Evening journal. [volume],Wilmington,Delaware,10/19/1896,https://chroniclingamerica.loc.gov/lccn/sn85042354/1896-10-19/ed-1/seq-1/#words=Unidentified+body,key,young,m,,son of meat inspector,Victim,Train Accident,
The Globe-republican. [volume],Chicago,Illinois,10/22/1896,https://chroniclingamerica.loc.gov/lccn/sn84029853/1896-10-22/ed-1/seq-3/#words=of+her+pocket,"handkerchief, pocketbook",,f,,,Victim,Theft,"Few details given, could be apocryphal, chicago chronicle"
The San Francisco call. [volume],San Francisco,California,11/1/1896,https://chroniclingamerica.loc.gov/lccn/sn85066387/1896-11-01/ed-1/seq-4/#words=from+her+pocket,"money, papers",,f,,,Victim,Theft,
NYT,Sands Point,New York,11/8/1896,https://www.nytimes.com/1896/11/08/archives/pound-a-body-on-the-bench.html,"money, pawn ticket",45,m,,fisherman,Victim,Sudden death,
The Redwood gazette. [volume],Redwood Falls,Minnesota,12/3/1896,https://chroniclingamerica.loc.gov/lccn/sn85025570/1896-12-03/ed-1/seq-1/#words=from+his+pockets,"gun, letter",21,m,,hotel porter,Victim,Suicide,
The Lamar register. [volume],Denver,Colorado,12/19/1896,https://chroniclingamerica.loc.gov/lccn/sn86063147/1896-12-19/ed-1/seq-4/#words=in+his+pockets,money,,m,,,Perpetrator,Vagrancy,
The Hawaiian star. [volume],Honolulu,Hawaii,1/29/1897,https://chroniclingamerica.loc.gov/lccn/sn82015415/1897-01-29/ed-1/seq-4/#words=in+a+handbag,"cremains, handkerchief, flower",,f,,,Both,Transporting ashes,
The Hawaiian star. [volume],Honolulu,Hawaii,1/29/1897,https://chroniclingamerica.loc.gov/lccn/sn82015415/1897-01-29/ed-1/seq-4/#words=in+a+handbag,"cremains, handkerchief, flower",,f,,,Neither,Transporting ashes,
NYT,New York,New York,2/17/1897,https://www.nytimes.com/1897/02/17/archives/woman-robbed-at-noonday-purse-suatched-from-mrs-annie-f-raymond-on.html,"check, money",,f,,,Victim,Theft,
The Daily Ardmoreite. [volume],Portland,Oregon,3/8/1897,https://chroniclingamerica.loc.gov/lccn/sn85042303/1897-03-08/ed-1/seq-4/#words=in+his+pockets,"food, matches",,m,,postmaster,Perpetrator,embezzlement,
NYT,Mount Vernon,New York,4/8/1897,https://www.nytimes.com/1897/04/08/archives/pockets-full-of-dynamite-the-man-was-asleep-on-the-harlem-railroad.html,dynamite,40,m,,Laborer,Perpetrator,Sleeping on train tracks with dynamite,
NYT,Mount Vernon,New York,4/8/1897,https://www.nytimes.com/1897/04/08/archives/pockets-full-of-dynamite-the-man-was-asleep-on-the-harlem-railroad.html,dynamite,40,m,,Laborer,Perpetrator,Sleeping on train tracks with dynamite,XXX
The Hawaiian star. [volume],Honolulu,Hawaii,4/20/1897,https://chroniclingamerica.loc.gov/lccn/sn82015415/1897-04-20/ed-1/seq-5/#words=in+his+possession,opium,,m,,hackman,Perpetrator,Opium Dealing,
The Hawaiian star. [volume],Honolulu,Hawaii,4/29/1897,https://chroniclingamerica.loc.gov/lccn/sn82015415/1897-04-29/ed-1/seq-1/#words=in+his+possession,opium,,m,,steamboat purser,Perpetrator,Drug smuggling,
The Roanoke times.,Roanoke,Virginia,5/4/1897,https://chroniclingamerica.loc.gov/lccn/sn95079490/1897-05-04/ed-1/seq-4/#words=from+his+pockets,money,,f,,,Victim,Theft,
Maine Farmer (1844-1900),Standish,Maine,5/6/1897,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/triple-tragedy/docview/135713205/se-2?accountid=9959,money,,f,,,Victim,Murder,
Chariton courier.,Keytesville,Missouri,5/14/1897,https://chroniclingamerica.loc.gov/lccn/sn88068010/1897-05-14/ed-1/seq-5/#words=in+her+pocket-book,"money, handkerchief",,f,,,Victim,Lost Property,
NYT,New York,New York,6/24/1897,https://timesmachine.nytimes.com/timesmachine/1897/06/24/issue.html,gun,64,m,,real estate developer,Perpetrator,Attempted Murder,
The true northerner. [volume],Paw Paw,Michigan,7/7/1897,https://chroniclingamerica.loc.gov/lccn/sn85033781/1897-07-07/ed-1/seq-4/#words=in+his+pocket,gun,,m,,,Perpetrator,Murder,
The Pacific commercial advertiser. [volume],Honolulu,Hawaii,7/8/1897,https://chroniclingamerica.loc.gov/lccn/sn85047084/1897-07-08/ed-1/seq-3/#words=of+the+pockets,money,,m,,bluejacket,Victim,Theft,
The daily morning journal and courier. [volume],West Haven,Connecticut,7/31/1897,https://chroniclingamerica.loc.gov/lccn/sn84020358/1897-07-31/ed-1/seq-3/#words=in+the+pocket,letter,,m,German,Laborer,Victim,Accident,
Semi=weekly graphic.,Pine Bluff,Arkansas,8/11/1897,https://chroniclingamerica.loc.gov/lccn/sn89051163/1897-08-11/ed-1/seq-1/#words=in+his+pocket,"money, check",,m,,cigar and news dealer,Victim,Theft,
The mirror.,Stillwater,Minnesota,8/19/1897,https://chroniclingamerica.loc.gov/lccn/sn90060762/1897-08-19/ed-1/seq-3/#words=from+his+pockets,Confederate ten dollar bill,young,m,,,Both,"Bribery, Vagrancy",
The Brunswick times. [volume],Chicago,Illinois,8/26/1897,https://chroniclingamerica.loc.gov/lccn/sn90052410/1897-08-26/ed-1/seq-1/#words=from+his+pocket,"gold, gun, watch, razor",,m,,Banker,Act of insanity,Act of insanity,Took place in Chicago
NYT,Rockaway Beach,New York,10/10/1897,https://www.nytimes.com/1897/10/10/archives/his-body-on-the-beach-an-unknown-man-found-at-rockaway-was-probably.html,"key, knife, money",60,m,,not a laborer,Victim,Unidentified body,
The Wadsworth dispatch. [volume],Wadsworth,Nevada,10/27/1897,https://chroniclingamerica.loc.gov/lccn/sn86076126/1897-10-27/ed-1/seq-4/#words=from+his+pocket,gun,,m,,frontiersman,Perpetrator,Attempted Murder,mentions of Chinamen
Kansas City journal. [volume],Kansas City,Missouri,11/7/1897,https://chroniclingamerica.loc.gov/lccn/sn86063615/1897-11-07/ed-1/seq-6/#words=in+his+purse,money,,m,,prisoner,Victim,Theft,
Morning appeal. [volume],Carson City,Nevada,11/16/1897,https://chroniclingamerica.loc.gov/lccn/sn86076999/1897-11-16/ed-1/seq-3/#words=in+his+pocket,gun,,m,,,Victim,Murder,
The Wichita daily eagle. [volume],Wichita,Kansas,11/17/1897,https://chroniclingamerica.loc.gov/lccn/sn82014635/1897-11-17/ed-1/seq-5/#words=in+her+possession,"gun, money, ",,m,,,Victim,Attempted Murder,
The Caldwell tribune. [volume],Idaho City,Idaho,11/20/1897,https://chroniclingamerica.loc.gov/lccn/sn86091092/1897-11-20/ed-1/seq-1/#words=on+his+person,"bill, letter, money, ",,m,,,Victim,Murder,
The eagle.,Crystal Springs,Arkansas,1/26/1898,https://chroniclingamerica.loc.gov/lccn/sn92070477/1898-01-26/ed-1/seq-16/#words=from+the+pocket,gun,,m,Black,,Perpetrator,Weapons possession,"Crystal Springs, AR"
NYT,Boston,Massachusetts,2/25/1898,https://www.nytimes.com/1898/02/25/archives/big-loss-of-a-buffalo-man-left-his-pocketbook-with-10810-in-a.html,"money, draft",,m,,,Victim,Theft,
The evening herald. [volume],Shenandoah,Pennsylvania,4/18/1898,https://chroniclingamerica.loc.gov/lccn/sn87078000/1898-04-18/ed-1/seq-1/#words=from+his+pockets,money,,m,Polish,,Victim,Theft,
The evening herald. [volume],Shenandoah,Pennsylvania,4/18/1898,https://chroniclingamerica.loc.gov/lccn/sn87078000/1898-04-18/ed-1/seq-1/#words=from+his+pockets,money,,m,Polish,,Victim,Pickpocket,
People's voice. [volume],Wellington,Kansas,4/21/1898,https://chroniclingamerica.loc.gov/lccn/sn85032801/1898-04-21/ed-1/seq-6/#words=on+her+person,gun,,f,,restaurant worker,Perpetrator,unknown,
The Coconino sun.,Port Eads,Louisiana,4/30/1898,https://chroniclingamerica.loc.gov/lccn/sn87062055/1898-04-30/ed-1/seq-14/#words=on+his+person,camera,,m,Spanish,spy,Perpetrator,Espionage,
The Pacific commercial advertiser. [volume],Honolulu,Hawaii,6/10/1898,https://chroniclingamerica.loc.gov/lccn/sn85047084/1898-06-10/ed-1/seq-1/#words=from+his+pockets,money,,m,,,Victim,Theft,
The Pacific commercial advertiser. [volume],Honolulu,Hawaii,6/10/1898,https://chroniclingamerica.loc.gov/lccn/sn85047084/1898-06-10/ed-1/seq-1/#words=from+his+pockets,money,,m,,,Victim,Theft,
NYT,New York,New York,6/13/1898,https://www.nytimes.com/1898/06/13/archives/robber-shot-in-indiana-a-negro-starts-a-fire-to-rob-a-hotel-safe-in.html,gun,19,m,,,Perpetrator,Assault,
NYT,New York,New York,6/13/1898,https://www.nytimes.com/1898/08/17/archives/girls-story-of-abduction-katie-marrion-says-lean-bought-a-ring-and.html,gun,19,m,,,Perpetrator,Assault,
NYT,Brooklyn,New York,8/17/1898,https://www.nytimes.com/1898/09/16/archives/staten-islands-mystery-body-of-the-woman-found-on-grymes-hill-still.html,"money, ring",15,f,,child,Victim,"Theft, Kidnapping",
NYT,Bridgeport,Connecticut,9/19/1898,https://www.nytimes.com/1898/09/19/archives/the-bridgeport-mystery-another-identification-of-the-body-of-the.html,train ticket,young,f,,,Victim,Murder,
The Wichita daily eagle. [volume],Santa Fe,New Mexico,10/14/1898,https://chroniclingamerica.loc.gov/lccn/sn82014635/1898-10-14/ed-1/seq-5/#words=in+her+pocketbook,"train ticket, money",,f,,mom,Victim,Theft,
The daily chieftain. [volume],Chicago,Illinois,10/17/1898,https://chroniclingamerica.loc.gov/lccn/sn93050700/1898-10-17/ed-1/seq-3/#words=from+his+pockets,"cigar, watch, pocketbook, other valuables",elderly,m,,,Anectdote,Anectdote,
The Redwood gazette. [volume],Redwood Falls,Minnesota,10/20/1898,https://chroniclingamerica.loc.gov/lccn/sn85025570/1898-10-20/ed-1/seq-1/#words=from+his+pockets,"bag, gold dust, gold nuggets",,m,,miner,Anectdote,Anectdote,
The times. [volume],Washington,District of Columbia,12/20/1898,https://chroniclingamerica.loc.gov/lccn/sn85054468/1898-12-20/ed-1/seq-8/#words=in+a+hand-bag,"glove, book, colarette",02/13/1900,f,,,Perpetrator,Theft,
The times. [volume],Richmond,Virginia,1/29/1899,https://chroniclingamerica.loc.gov/lccn/sn85034438/1899-01-29/ed-1/seq-8/#words=in+her+pocketbook,money,young,f,,,Victim,Theft,
The Wheeling daily intelligencer. [volume],Wheeling,West Virginia,3/7/1899,https://chroniclingamerica.loc.gov/lccn/sn84026844/1899-03-07/ed-1/seq-5/#words=on+his+person,"money, check",,m,,,Act of insanity,Act of insanity,
Daily inter mountain. [volume],Butte,Montana,3/11/1899,https://chroniclingamerica.loc.gov/lccn/sn85053057/1899-03-11/ed-1/seq-8/#words=in+his+possession,"counterfeit money, saw",,m,,,Perpetrator,"Counterfeiter, Weapons possession",
The Hawaiian star. [volume],Honolulu,Hawaii,3/22/1899,https://chroniclingamerica.loc.gov/lccn/sn82015415/1899-03-22/ed-1/seq-4/#words=in+his+purse,counterfeit money,,,,,Victim,Counterfeiter,
The Topeka state journal. [volume],Kansas City,Kansas,3/31/1899,https://chroniclingamerica.loc.gov/lccn/sn82016014/1899-03-31/ed-1/seq-6/#words=in+her+pocketbook,money,,f,,,Victim,Theft,
Daily capital journal.,Salem,Oregon,4/18/1899,https://chroniclingamerica.loc.gov/lccn/sn99063955/1899-04-18/ed-1/seq-4/#words=in+his+purse,money,,m,,,Victim,Theft,
The Anaconda standard. [volume],Anaconda,Montana,4/21/1899,https://chroniclingamerica.loc.gov/lccn/sn84036012/1899-04-21/ed-1/seq-7/#words=Unknown+body,money,,m,,,Victim,Unidentified body,
Hopkinsville Kentuckian. [volume],Crofton,Kentucky,4/28/1899,https://chroniclingamerica.loc.gov/lccn/sn86069395/1899-04-28/ed-1/seq-1/#words=Coroners+Inquest,"envelope, money, gun",38,m,,Farmer,Victim,Suicide,
The daily chieftain. [volume],Vinita,Oklahoma,5/2/1899,https://chroniclingamerica.loc.gov/lccn/sn93050700/1899-05-02/ed-1/seq-2/#words=in+the+pocketbook,pin,,f,,daughter of us marshal,Victim,Lost Property,
Dakota farmers' leader.,Sioux City,South Dakota,5/5/1899,https://chroniclingamerica.loc.gov/lccn/sn00065127/1899-05-05/ed-1/seq-1/#words=from+his+pockets,"money, railroad ticket",22,m,Does not understand english well,coal heaver,Victim,Theft,
The Indianapolis journal. [volume],Indianapolis,Indiana,5/7/1899,https://chroniclingamerica.loc.gov/lccn/sn82015679/1899-05-07/ed-1/seq-8/#words=in+her+pocket,"hose, necktie, belt, money",33,f,,wife of harness maker,Perpetrator,Shoplifting,
The daily chieftain. [volume],Vinita,Oklahoma,6/23/1899,https://chroniclingamerica.loc.gov/lccn/sn93050700/1899-06-23/ed-1/seq-1/#words=in+his+pockets,money,40,m,,deputy US Marshal,Victim,Drowning,
Chariton courier.,Keytesville,Missouri,8/4/1899,https://chroniclingamerica.loc.gov/lccn/sn88068010/1899-08-04/ed-1/seq-3/#words=on+his+person,money,,m,Black,,Victim,"Murder, Theft",
Daily independent. [volume],Osino,Nevada,8/8/1899,https://chroniclingamerica.loc.gov/lccn/sn84020355/1899-08-08/ed-1/seq-3/#words=on+his+person,poll tax receipt,35,m,American,,Victim,Train Accident,
NYT,New York,New York,8/28/1899,https://www.nytimes.com/1899/08/28/archives/may-be-a-murder-mystery-salem-nj-authorities-however-have-not-even.html,razor,25,m,Italian,,Perpetrator,Attempted Murder,
The Marshall republican. [volume],Marshall,Missouri,9/8/1899,https://chroniclingamerica.loc.gov/lccn/sn89066240/1899-09-08/ed-1/seq-3/#words=on+his+person,gun,,m,Black,tramp,Perpetrator,"Counterfeiter, Weapons possession",
The Lancaster ledger. [volume],Lancaster,South Carolina,9/20/1899,https://chroniclingamerica.loc.gov/lccn/sn84026900/1899-09-20/ed-1/seq-3/#words=in+his+pocket,"glove, pocketbook, money, handkerchief",,m,,,Victim,Theft,
The Stark County Democrat. [volume],Canton,Ohio,10/10/1899,https://chroniclingamerica.loc.gov/lccn/sn84028490/1899-10-10/ed-1/seq-2/#words=in+his+pocket,"chain, key, money",,m,Black,Janitor,Perpetrator,Theft,
Virginian-pilot.,Petersburg,Virginia,11/11/1899,https://chroniclingamerica.loc.gov/lccn/sn86071779/1899-11-11/ed-1/seq-8/#words=on+his+person,"money, gun",,m,Italian,,Perpetrator,Weapons possession,
The Globe-republican. [volume],Chicago,Illinois,12/30/1899,https://chroniclingamerica.loc.gov/lccn/sn84029853/1896-10-22/ed-1/seq-3/#words=of+her+pocket,ring,,m,,Thief,Perpetrator,Theft,"Left ring at crime scene, Chicago chronicle"
The mirror.,Stillwater,Minnesota,12/30/1899,https://chroniclingamerica.loc.gov/lccn/sn90060762/1897-08-19/ed-1/seq-3/#words=from+his+pockets,watch,,m,,shoe shop foreman,Victim,Theft,